,PM2.5(微克每立方米),PM10(微克每立方米),SO2(微克每立方米),NO2(微克每立方米),CO(毫克每立方米),O3(微克每立方米),year,month,province,max,maximum
937,0.0816784124923503,0.08013698756559871,0.07258998057535447,0.06715686183665807,0.07106241562374065,0.1118942843947249,2015,5,浙江省,0.7352236353397812,1.0701747721499573
970,0.0596184546720453,0.059334010520854026,0.061973379010030326,0.05503277712983185,0.06459395424317502,0.09238467453105567,2015,6,浙江省,0.7352236353397812,1.0701747721499573
1003,0.05115036282365541,0.05165830745875114,0.05586624155212064,0.04620593761905366,0.05514586599987161,0.09133056487570823,2015,7,浙江省,0.7352236353397812,1.0701747721499573
1036,0.06400882100213966,0.06629767513382534,0.06641389687149142,0.048747451358237555,0.06549234726773778,0.0994091359132965,2015,8,浙江省,0.7352236353397812,1.0701747721499573
1069,0.0720013384735565,0.07201741136136058,0.07764730417500874,0.06910175235616543,0.07326986607542749,0.10764415977176457,2015,9,浙江省,0.7352236353397812,1.0701747721499573
1102,0.08067599544238724,0.08333420731540932,0.08566688315218537,0.08724383103294173,0.07530133555671015,0.09514084416064401,2015,10,浙江省,0.7352236353397812,1.0701747721499573
1135,0.07640806300588203,0.07488091989651256,0.08331007796192579,0.10807157823080532,0.10340367673095024,0.04819648274826717,2015,11,浙江省,0.7352236353397812,1.0701747721499573
1168,0.11507687074330245,0.11576410659158777,0.10820591966288609,0.12904365452321298,0.11515123394811286,0.04489989009350741,2015,12,浙江省,0.7352236353397812,1.0701747721499573
1198,0.10270934635613646,0.10036754979762558,0.08346763600803882,0.10674876111280504,0.10789531310190571,0.06923684977242922,2016,1,四川省,0.606497941260734,1.0701747721499573
1231,0.0937699237879456,0.09419185229868578,0.071705840851598,0.08768252089986416,0.09551037073219559,0.07804499849953501,2016,2,四川省,0.606497941260734,1.0701747721499573
1264,0.08557026373623453,0.0913335398241533,0.08653726118261625,0.09777539962558195,0.09007104942820322,0.08805443132638965,2016,3,四川省,0.606497941260734,1.0701747721499573
1297,0.07054999210965485,0.07233853823057845,0.07413495580640105,0.07565590186710189,0.07601465935057801,0.09127636901388113,2016,4,四川省,0.606497941260734,1.0701747721499573
1330,0.07967899291990042,0.08036520220755101,0.07111052033810053,0.0632456893188137,0.07212476683754104,0.10039709584214541,2016,5,四川省,0.606497941260734,1.0701747721499573
1363,0.06791222325479733,0.06654324343040785,0.07180716182211508,0.05770298460060914,0.06840055752042268,0.09510251163394656,2016,6,四川省,0.606497941260734,1.0701747721499573
1396,0.059446693483983785,0.0579193844699456,0.0752417767422186,0.05815569386485086,0.06694114036201923,0.08375089961785603,2016,7,四川省,0.606497941260734,1.0701747721499573
1429,0.08671901520177976,0.08325773112736375,0.09448064255791648,0.057155750134557,0.07695553350323511,0.09872723870232054,2016,8,四川省,0.606497941260734,1.0701747721499573
1462,0.09164571592679377,0.08559540056806822,0.11033001043517299,0.07129752671431556,0.0820168322533765,0.08455849284770331,2016,9,四川省,0.606497941260734,1.0701747721499573
1495,0.0704469673479282,0.0708764320881581,0.08991455019581839,0.08195881254346067,0.07589529125917717,0.07690305131425898,2016,10,四川省,0.606497941260734,1.0701747721499573
1528,0.08235229387083476,0.08674983656422561,0.08380559857085212,0.1096109118434852,0.08591748643194293,0.06984107374915706,2016,11,四川省,0.606497941260734,1.0701747721499573
1561,0.1091985720040104,0.11046128939323689,0.08746404548915172,0.1330100474745548,0.102256999219403,0.06410698768037718,2016,12,四川省,0.606497941260734,1.0701747721499573
1594,0.13104852824927118,0.1269776579649733,0.09476044723653183,0.11338547821399632,0.11636099465270257,0.07144669305867589,2017,1,四川省,0.653979799376151,1.0701747721499573
1627,0.09904090097536444,0.09646305320796746,0.0862598407332425,0.09638739167433995,0.1007131183381123,0.07318840594457819,2017,2,四川省,0.653979799376151,1.0701747721499573
1660,0.0755971866909484,0.07937022095261032,0.08063612802931912,0.09209503092403698,0.08309638254096553,0.08563278301012144,2017,3,四川省,0.653979799376151,1.0701747721499573
1693,0.06931362581842544,0.07266659985447109,0.07912869103270052,0.07986280334182504,0.0746181054583832,0.09800496441212314,2017,4,四川省,0.653979799376151,1.0701747721499573
1726,0.08117295338191302,0.08158325113672107,0.07410216669814047,0.07104012314741949,0.07199795128995057,0.1094788244166438,2017,5,四川省,0.653979799376151,1.0701747721499573
