,PM2.5(微克每立方米),PM10(微克每立方米),SO2(微克每立方米),NO2(微克每立方米),CO(毫克每立方米),O3(微克每立方米),year,month,province,time,id
809,42.449574252946455,69.42870177072348,17.460468306810487,18.257634053824475,1201.1323713503534,59.84019763532415,2015,1,陕西省,2015上半年,0
814,44.91884346533062,75.14524062637683,36.27100805874832,22.335035736612724,1415.3139657682277,61.43337196241024,2015,1,山西省,2015上半年,0
822,60.040426519741715,85.43638987739659,17.109666024847815,30.934154946805478,933.8742550634355,66.54301781625135,2015,1,北京市,2015上半年,0
805,43.80463105977037,61.46137033342842,13.422406527100511,27.78074319952897,714.7969077000795,59.90236213546302,2015,1,浙江省,2015上半年,0
796,23.993293266769072,35.98955293138761,6.626935291858679,25.988766257040453,587.9206349206348,53.38161725550435,2015,1,香港,2015上半年,0
810,72.0836585779614,117.05597210763283,28.311340537810977,30.180068654060065,1182.7348376502994,61.241802151420444,2015,1,河南省,2015上半年,0
795,43.7227883328435,59.02475840667563,12.015541559108419,11.970080737336843,871.4286525044486,57.54901211082977,2015,1,广西壮族自治区,2015上半年,0
812,7.245428632015483,8.23932099519682,0.7228360903941611,0.7462555391111367,140.7760513233612,82.22604903024047,2015,1,青海省,2015上半年,0
817,57.284193332076256,95.22927007628368,25.445648156835333,27.209613842054754,1005.5101184727322,64.59947526667098,2015,1,河北省,2015上半年,0
821,44.69438578107948,73.83540140638861,25.327179792353693,22.74341281356072,1029.2847774715076,61.873745588960354,2015,1,辽宁省,2015上半年,0
802,27.849222208218524,40.25023428533367,7.717891078253877,8.671287628364269,499.6248687901081,70.50205549696743,2015,1,四川省,2015上半年,0
803,5.434613985578616,6.140691499696497,0.5093430037903226,0.5692606054373909,153.67409391510083,89.52994837088046,2015,1,西藏自治区,2015上半年,0
804,56.20847717471696,76.46576493535586,17.808177540251467,16.163474604596917,726.7612949450987,53.66104729724924,2015,1,重庆市,2015上半年,0
799,37.327037660932824,55.324210529489335,15.675226488997227,11.345932915799274,645.7114805720796,57.92889614795836,2015,1,贵州省,2015上半年,0
808,57.77774011980404,94.02806234231718,20.50329361413676,28.304636704312713,935.2269669622492,66.73399465740351,2015,1,江苏省,2015上半年,0
793,32.40233233098057,45.50158251116426,9.595600026897925,18.313214815570984,820.9640603226453,51.6688104785238,2015,1,广东省,2015上半年,0
801,38.98926820189418,54.35607431998914,16.59720033107969,15.752230544670503,848.098875095353,51.35357261617397,2015,1,江西省,2015上半年,0
806,62.94792319036092,91.1231979584504,16.679829218176973,19.654295030699927,950.5699763948487,59.04990121751063,2015,1,湖北省,2015上半年,0
818,20.168086004932178,27.76580423689053,2.4243006044322724,2.1889334344771685,252.5050072090796,69.78588723307774,2015,1,新疆维吾尔自治区,2015上半年,0
798,30.37679018833985,42.488186090351725,11.168514472596657,14.956789936878055,773.589306809269,53.78994654123781,2015,1,福建省,2015上半年,0
823,37.33730316543243,54.848467389655774,13.642937636642499,15.312527008552886,619.6306186190635,67.65276646999553,2015,1,吉林省,2015上半年,0
811,51.97509319529782,69.47157709826762,16.3062341536525,39.903084714755074,777.5397838795016,67.21555296338967,2015,1,上海市,2015上半年,0
794,28.680304748658894,39.87259246046079,7.976341558595164,7.339502384105441,562.0926534914029,66.7540457259294,2015,1,云南省,2015上半年,0
815,68.94006677189245,120.95474214902136,37.018830940227794,34.722474496463,1210.5566891519154,65.87717506377551,2015,1,山东省,2015上半年,0
816,39.05831997206082,77.82824793906809,19.403577491150738,14.900917822636302,723.3092872726464,55.0983347720341,2015,1,宁夏回族自治区,2015上半年,0
820,69.54618568326835,115.43631365945883,28.960815301410054,41.20745269851117,1292.2616462838237,56.47916920221356,2015,1,天津市,2015上半年,0
819,20.059075661751695,28.43874874342825,7.447414399281937,5.02048764734669,309.66148696453325,63.6342851452994,2015,1,内蒙古自治区,2015上半年,0
824,22.465600409150824,32.26476693169233,7.463268988925435,8.51547497805077,422.0565675043802,60.88740119941588,2015,1,黑龙江省,2015上半年,0
797,19.152901900065554,23.42641859738896,5.914042673202421,15.501582966430869,217.53829809439011,60.49039706347574,2015,1,台湾省,2015上半年,0
813,24.324238291233467,40.940312182314436,7.554595029669881,6.913165556415351,456.2042425650903,70.15939219897199,2015,1,甘肃省,2015上半年,0
792,19.001928730819415,26.639276785094893,3.459946037527047,5.23420761277109,353.960550352642,56.74821355152536,2015,1,海南省,2015上半年,0
